[Script Info]
Title: Default Aegisub file
ScriptType: v4.00+
WrapStyle: 0
PlayResX: 640
PlayResY: 480
ScaledBorderAndShadow: yes
Video Aspect Ratio: 0
Video Zoom: 6
Video Position: 0

[V4+ Styles]
Format: Name, Fontname, Fontsize, PrimaryColour, SecondaryColour, OutlineColour, BackColour, Bold, Italic, Underline, StrikeOut, ScaleX, ScaleY, Spacing, Angle, BorderStyle, Outline, Shadow, Alignment, MarginL, MarginR, MarginV, Encoding
Style: Default,MS UI Gothic,30,&H00FFFFFF,&H000000FF,&H00000000,&H00000000,0,0,0,0,100,100,0,0,1,1.5,1.5,2,10,10,10,0

[Events]
Format: Layer, Start, End, Style, Name, MarginL, MarginR, MarginV, Effect, Text
Dialogue: 0,0:04:34.60,0:04:38.14,Default,,0000,0000,0000,,あの子は　自来也ちゃん以上に\N強くなる子じゃ！》\N
Dialogue: 0,0:04:38.14,0:04:42.01,Default,,0000,0000,0000,,コレッ！　はよどかんか！\N重たいわい！\N
Dialogue: 0,0:04:42.01,0:04:45.01,Default,,0000,0000,0000,,ナルトのアホ！\N
Dialogue: 0,0:04:50.59,0:04:52.78,Default,,0000,0000,0000,,（サクラ）チョウジ！\N
Dialogue: 0,0:04:52.78,0:04:55.78,Default,,0000,0000,0000,,（チョウジ）丸薬を持ってきた！\Nあぁ　ありがとう。\N
Dialogue: 0,0:04:59.51,0:05:01.70,Default,,0000,0000,0000,,これって…。\N
Dialogue: 0,0:05:01.70,0:05:04.23,Default,,0000,0000,0000,,イテェよ…。\Nオレの足が…。\N
Dialogue: 0,0:05:04.23,0:05:08.77,Default,,0000,0000,0000,,（サクラ）なんなの？　これ。\Nサクラさん！　ちょうどよかった！\N
Dialogue: 0,0:05:08.77,0:05:10.62,Default,,0000,0000,0000,,ここの陣頭指揮を\Nお願いします！\N
Dialogue: 0,0:05:10.62,0:05:14.33,Default,,0000,0000,0000,,え？　シズネさんは？\Nシズネさんはいません。\N
Dialogue: 0,0:05:14.33,0:05:18.20,Default,,0000,0000,0000,,そうだった…　まだ検死中よね。\N
Dialogue: 0,0:05:18.20,0:05:22.57,Default,,0000,0000,0000,,あまりにも人数が多くて\N医療忍者たちも混乱気味で。\N
Dialogue: 0,0:05:22.57,0:05:25.60,Default,,0000,0000,0000,,誰か現場をまとめて\N指示しないと…。\N
Dialogue: 0,0:05:25.60,0:05:28.31,Default,,0000,0000,0000,,指示って…。\N
Dialogue: 0,0:05:28.31,0:05:35.37,Default,,0000,0000,0000,,～\N
Dialogue: 0,0:05:35.37,0:05:39.58,Default,,0000,0000,0000,,《サクラ：こんなにたくさんの命を\N預かるなんて…。\N
Dialogue: 0,0:05:39.58,0:05:42.58,Default,,0000,0000,0000,,こんなとき　綱手様なら…》\N
Dialogue: 0,0:05:46.32,0:05:49.68,Default,,0000,0000,0000,,ほら　これ食べて\Nがんばれば。\N
